property_type,city,baths,area,bedrooms,price
2,0,4,8,3,10500000
2,0,3,4.4,4,14500000
3,0,1,2.9,1,4800000
2,0,4,12,4,13000000
3,0,2,6.9,2,12500000
3,0,2,11.1,3,48000000
2,0,4,5,4,9000000
3,0,2,3.6,2,5656000
3,0,2,4.1,2,5800000
3,0,4,16.4,4,42000000
2,4,3,3,2,8000000
3,4,0,7,0,22500000
2,4,4,7,5,17000000
2,4,4,5,4,16500000
3,4,3,10.1,3,13000000
2,4,5,14,4,34500000
2,4,4,15,3,45000000
2,4,3,2,3,4500000
2,4,7,10,7,21000000
2,4,5,10,5,13500000
3,4,2,6,2,7000000
2,4,4,3,3,9000000
3,4,1,2,1,5100000
2,4,3,8,3,12500000
2,4,3,10,2,12500000
2,4,5,10,3,15500000
2,4,6,10,5,17600000
2,4,6,13,5,13700000
2,4,0,10,0,37500000
2,4,4,5,3,11500000
2,4,0,5,0,11000000
2,4,2,5,2,10000000
2,4,4,5,3,11500000
2,4,5,10,4,18800000
2,4,3,5,3,11000000
2,4,6,10,4,23600000
2,4,0,17,4,37000000
2,4,0,17,4,38000000
2,4,4,5,4,10900000
2,4,4,3,3,5600000
2,4,5,10,4,33000000
2,4,5,10,4,29500000
2,4,4,10,3,7900000
2,3,5,5,4,8900000
2,3,5,10,4,12500000
2,3,3,3,3,4500000
2,1,6,10,4,17500000
2,1,6,11,5,23500000
3,1,4,10,3,11500000
2,1,3,8,3,10500000
2,1,7,7,7,26500000
3,1,4,10,3,11000000
2,1,5,7,5,13000000
3,2,5,15.8,4,75000000
3,2,3,12.2,3,35100000
3,2,5,10.3,3,48000000
3,2,5,10.3,3,50000000
2,2,5,11,4,12500000
2,2,4,11,3,9205000
3,2,2,3.7,2,6100000
3,2,4,6,3,9500000
3,2,3,5.1,5,3500000
2,2,5,4.8,4,40000000
3,2,3,8,3,22000000
3,2,0,10.2,4,32000000
2,2,4,8.8,4,70000000
3,2,3,6.7,3,8500000
3,2,4,9,4,14000000
2,2,5,14,4,49500000
3,2,2,3.4,4,4100000
3,2,2,2.9,2,3400000
5,2,3,7.6,3,15000000
3,2,5,9.8,4,39000000
3,2,2,5.8,2,4666000
3,2,3,3.6,3,4848000
2,2,4,16,3,40000000
2,2,5,4,4,8500000
2,2,6,14,5,90000000
3,2,4,18.2,4,72500000
3,2,5,11.8,4,55000000
2,2,3,3.4,3,7000000
3,2,3,6.2,3,17000000
3,2,2,3.2,2,1700000
3,2,4,8,3,22000000
2,2,0,3.3,5,11000000
3,2,0,4.9,2,7000000
3,2,2,4,0,5049000
3,2,2,4.7,2,8000000
2,0,5,5,5,8500000
3,0,3,8,2,33000000
3,0,8,12,4,15000000
2,0,4,5,3,13000000
3,0,4,10,3,15500000
2,0,5,9.3,4,50000000
3,0,4,10,3,15000000
2,0,6,10,5,21000000
3,0,3,4.9,3,10500000
3,0,2,5.8,3,12500000
2,0,0,10,4,26000000
2,0,6,10,5,23500000
2,0,6,10,5,23000000
2,0,5,8,5,27500000
3,0,3,10,3,35000000
3,0,2,8.9,2,46000000
2,4,6,10,6,20000000
2,4,4,14,4,40000000
3,4,4,10,3,19000000
2,4,4,14,4,37500000
2,4,3,4,3,10000000
2,4,0,5,3,9000000
2,4,0,4.3,3,7800000
2,4,4,14,4,33500000
2,4,2,4,3,6550000
2,4,6,10,5,39900000
2,4,6,8,5,16900000
3,4,3,5,3,6000000
2,4,2,5,3,7200000
3,4,3,10,3,14500000
2,4,4,5,3,11500000
2,4,6,10,5,17600000
2,4,4,6,3,11000000
2,4,4,2.5,3,5000000
2,4,2,3,2,4000000
0,4,1,3,2,3200000
2,4,5,10,4,32900000
3,1,1,1.3,1,1500000
2,1,4,10,3,17500000
2,1,5,7,4,12000000
2,1,6,10,5,23500000
2,1,6,10,5,27500000
2,1,6,6,6,35000000
2,1,3,8,3,11000000
2,1,5,10,4,22000000
2,1,5,10,5,23000000
2,1,7,13,6,25000000
2,1,6,10,5,21000000
2,1,5,10,4,23500000
2,1,2,5,4,7400000
2,1,6,10,5,21000000
2,1,6,10,5,23500000
2,1,6,10,5,23500000
